iter	RMSE
0	0.02940874281
1	0.02835756207
2	0.02736571343
3	0.0264067143
4	0.0255129654
5	0.0246918588
6	0.02385318718
7	0.02303132317
8	0.02229025712
9	0.02158898592
10	0.02082684553
11	0.02009982858
12	0.01944479004
13	0.01880817099
14	0.018206578
15	0.01762553453
16	0.01705115163
17	0.01648411051
18	0.01596577584
19	0.01541433295
20	0.01492621205
21	0.01444920993
22	0.01402521881
23	0.0135980568
24	0.01321399279
25	0.01280912428
26	0.01240380483
27	0.01202042903
28	0.01168232037
29	0.01132830929
30	0.01100462236
31	0.0107240001
32	0.01041674101
33	0.0101011471
34	0.009808733557
35	0.009559254601
36	0.009278452838
37	0.009028756403
38	0.008819168925
39	0.008588358299
40	0.008359238399
41	0.00816630309
42	0.007957833591
43	0.007757590912
44	0.007561541566
45	0.007392061574
46	0.007199312496
47	0.00701925813
48	0.006851117471
49	0.006704428443
50	0.006565962071
51	0.006417544746
52	0.006276424934
53	0.006145862505
54	0.006027670333
55	0.005915617809
56	0.005789937548
57	0.005675417641
58	0.005564077084
59	0.005440884246
60	0.005340190443
61	0.005252555015
62	0.005159595078
63	0.005079696206
64	0.004999671653
65	0.004916875804
66	0.004838682572
67	0.004764478318
68	0.004682927655
69	0.004611501662
70	0.00454616088
71	0.00448937467
72	0.004431623565
73	0.004374343795
74	0.004318344448
75	0.004266015108
76	0.004220105599
77	0.004170011834
78	0.004122762095
79	0.004084987892
80	0.004043448372
81	0.003998446159
82	0.003958344252
83	0.003928578688
84	0.003885140184
85	0.003850523467
86	0.003817169599
87	0.003781896678
88	0.003754314088
89	0.003722427412
90	0.003698481772
91	0.003675352091
92	0.003648057585
93	0.003624376023
94	0.003594215446
95	0.003573431974
96	0.003550487315
97	0.003528785124
98	0.003505868073
99	0.003486827372
100	0.003468132063
101	0.00345114971
102	0.003434373036
103	0.003422350108
104	0.003414537892
105	0.003396217951
106	0.00338328288
107	0.003370963817
108	0.003355602665
109	0.003336298477
110	0.003324179701
111	0.003311919191
112	0.003295198059
113	0.003282430923
114	0.003272532833
115	0.003260142446
116	0.003248757426
117	0.003243265939
118	0.003235077122
119	0.003224322515
120	0.003210184302
121	0.003194570077
122	0.003184686657
123	0.003176476826
124	0.003167883053
125	0.003155331934
126	0.003148077312
127	0.003139578114
128	0.003128833564
129	0.003121719323
130	0.003112553782
131	0.003107224395
132	0.00309729873
133	0.003087859826
134	0.003080126403
135	0.003073718097
136	0.003066637172
137	0.003056832618
138	0.003048811421
139	0.003041760406
140	0.003033220538
141	0.003025136525
142	0.003016912985
143	0.003006371377
144	0.003002696865
145	0.002996150726
146	0.002992602291
147	0.002987868398
148	0.002981261505
149	0.002976420196
150	0.002966853455
151	0.002962627447
152	0.002955879235
153	0.002951977337
154	0.002949218177
155	0.002945051834
156	0.002940615111
157	0.002933977605
158	0.002929787785
159	0.002928312988
160	0.002922525065
161	0.002914798023
162	0.002908967374
163	0.002904608591
164	0.002898430891
165	0.002895898165
166	0.002885584118
167	0.002877914603
168	0.002874490752
169	0.00286918901
170	0.002865034552
171	0.002861602895
172	0.002856369499
173	0.002852811765
174	0.002846374384
175	0.002841950359
176	0.002836098201
177	0.002830327868
178	0.002826563205
179	0.002821223659
180	0.002817911815
181	0.002812278548
182	0.002809689158
183	0.0028049999
184	0.002801226084
185	0.00279797455
186	0.002795235752
187	0.002791536102
188	0.002790622979
189	0.002787250468
190	0.00278425604
191	0.002780383883
192	0.002777237803
193	0.002772262148
194	0.002771005751
195	0.002768722733
196	0.002766339514
197	0.002764021255
198	0.002763218792
199	0.002759100048
200	0.002758060438
201	0.00275498698
202	0.002750267712
203	0.002748947433
204	0.00274523967
205	0.00274139775
206	0.002736758657
207	0.002734715038
208	0.002732629568
209	0.002730454489
210	0.002727316073
211	0.002723249594
212	0.002721088204
213	0.002720639507
214	0.002718294243
215	0.002712917845
216	0.002709495823
217	0.002703066231
218	0.002701787618
219	0.002700472061
220	0.002694777902
221	0.002692126283
222	0.002689586821
223	0.002685860564
224	0.002683714048
225	0.002680803872
226	0.002679417738
227	0.002674638701
228	0.002670242407
229	0.002667544302
230	0.002663769626
231	0.002661856784
232	0.002657269132
233	0.00265607479
234	0.002653299182
235	0.002650489001
236	0.0026463591
237	0.002644533027
238	0.002638513341
239	0.002635881913
240	0.00263150574
241	0.002626571241
242	0.002623864094
243	0.002621005971
244	0.002617173811
245	0.002614717581
246	0.002611873425
247	0.002608904441
248	0.002604252999
